Designator,Mid X,Mid Y,Rotation,Layer
D1,56.388,-66.929,270.0,bottom
D10,75.565,-105.283,270.0,bottom
D11,94.488,-105.283,270.0,bottom
D12,113.538,-105.283,270.0,bottom
D13,56.388,-124.333,270.0,bottom
D14,73.025,-121.158,0.0,bottom
D15,92.075,-121.158,0.0,bottom
D16,111.125,-121.031,0.0,bottom
D2,73.025,-64.262,0.0,bottom
D3,94.488,-66.929,270.0,bottom
D4,110.998,-64.135,0.0,bottom
D5,56.007,-84.963,270.0,bottom
D6,74.803,-84.963,270.0,bottom
D7,93.472,-84.963,270.0,bottom
D8,112.522,-84.963,270.0,bottom
D9,56.388,-104.775,270.0,bottom
H1,73.025,-111.125,0.0,top
H2,111.125,-111.125,0.0,top
H3,73.025,-68.58,0.0,top
H4,111.125,-68.58,0.0,top
J1,92.075,-56.9214,270.0,bottom
J10,127.2286,-92.075,0.0,top
J11,111.125,-127.2286,270.0,bottom
J12,111.125,-127.2286,90.0,top
J13,92.075,-127.2286,270.0,bottom
J14,73.025,-127.2286,270.0,bottom
J15,73.025,-127.2286,90.0,top
J16,92.075,-127.2286,90.0,top
J17,56.9214,-111.125,0.0,bottom
J18,56.9214,-111.125,0.0,top
J19,56.9214,-92.075,0.0,top
J2,111.125,-56.9214,270.0,bottom
J20,56.9214,-73.025,0.0,bottom
J21,56.9214,-73.025,0.0,top
J22,56.9214,-92.075,0.0,bottom
J23,73.025,-56.9214,270.0,bottom
J24,73.025,-56.9214,90.0,top
J25,92.075,-111.1758,90.0,top
J3,111.125,-56.9214,90.0,top
J4,92.075,-56.9214,90.0,top
J5,127.2286,-73.025,0.0,bottom
J6,127.2286,-73.025,0.0,top
J7,127.2286,-92.075,0.0,bottom
J8,127.2286,-111.125,0.0,bottom
J9,127.2286,-111.125,0.0,top
K1,63.5,-63.5,0.0,top
K10,82.55,-101.6,0.0,top
K11,101.6,-101.6,0.0,top
K12,120.65,-101.6,0.0,top
K13,63.5,-120.650001,0.0,top
K14,82.55,-120.650001,0.0,top
K15,101.6,-120.650001,0.0,top
K16,120.65,-120.650001,0.0,top
K2,82.55,-63.5,0.0,top
K3,101.6,-63.5,0.0,top
K4,120.65,-63.5,0.0,top
K5,63.5,-82.55,0.0,top
K6,82.55,-82.55,0.0,top
K7,101.6,-82.55,0.0,top
K8,120.65,-82.55,0.0,top
K9,63.5,-101.6,0.0,top
Pico1,91.313,-82.55,270.0,bottom
R1,59.436,-67.564,270.0,bottom
R10,78.486,-105.791,270.0,bottom
R11,97.409,-105.664,270.0,bottom
R12,116.459,-105.664,270.0,bottom
R13,59.309,-124.714,270.0,bottom
R14,77.978,-124.714,270.0,bottom
R15,96.52,-124.714,270.0,bottom
R16,115.57,-124.714,270.0,bottom
R2,78.359,-67.564,270.0,bottom
R3,97.663,-67.564,270.0,bottom
R4,116.205,-67.564,270.0,bottom
R5,59.182,-86.614,270.0,bottom
R6,78.105,-86.741,270.0,bottom
R7,96.901,-86.741,270.0,bottom
R8,115.697,-86.741,270.0,bottom
R9,59.309,-105.664,270.0,bottom
